"text","intent","lang"
"hello, how are you","greeting","en"
"good morning, hope you are doing well","greeting","en"
"hey there, what's up","greeting","en"
"good evening, nice to see you","greeting","en"
"hi, how's everything going","greeting","en"
"hello, welcome back","greeting","en"
"nice to meet you","greeting","en"
"hey, good to see you again","greeting","en"
"hi there, how can I help you","greeting","en"
"hello friend, what's the plan","greeting","en"
"greetings, how may I assist","greeting","en"

"namaste, kaise ho","greeting","hi"
"namaste ji","greeting","hi"
"good morning bhai","greeting","hi"
"hello sir aap kaise ho","greeting","hi"
"namaskar, sab theek","greeting","hi"
"hi bro kya chal raha","greeting","hi"
"aapka din shubh ho","greeting","hi"
"hello bhaiya","greeting","hi"
"namaste dosto","greeting","hi"
"kaise ho mitron","greeting","hi"
"hi bro kaise ho aaj","greeting","hi"

"hi bro what’s up","greeting","hi"
"hello bhai kaisa hai","greeting","hi"
"hey bro kaise chal raha","greeting","hi"
"good morning yaar","greeting","hi"
"hi buddy kya scene hai","greeting","hi"
"hello bro kidhar ho","greeting","hi"
"yo bhai!","greeting","hi"
"hi bro kaam ho gaya kya","greeting","hi"
"hello yaar","greeting","hi"
"hi bro long time","greeting","hi"
"hello yaar","greeting","hi"
"hello bro","greeting","hi"
"kya haal chaal","greeting","hi"
"kya hal chal","greeting","hi"
"kaise ho yaar","greeting","hi"
"hello mitro","greeting","hi"
"namaste yaar","greeting","hi"
"hi bro kya scene","greeting","hi"
"hello dost","greeting","hi"
"ram ram bhai","greeting","hi"


"bye, see you soon","farewell","en"
"goodbye, take care","farewell","en"
"catch you later","farewell","en"
"see you tomorrow","farewell","en"
"good night","farewell","en"
"talk to you later","farewell","en"
"see you later, friend","farewell","en"
"have a nice day","farewell","en"
"alright, signing off","farewell","en"
"ok bye, take care","farewell","en"

"theek hai, milte hain","farewell","hi"
"chalo fir baad me baat karenge","farewell","hi"
"bye bhai","farewell","hi"
"accha theek hai, good night","farewell","hi"
"thik hai milte hain kal","farewell","hi"
"alvida dosto","farewell","hi"
"chal yaar main nikalta hoon","farewell","hi"
"baad me call karna","farewell","hi"
"chalte hain","farewell","hi"
"phir milenge","farewell","hi"

"ok bro mai nikal raha","farewell","hi"
"bye yaar take care","farewell","hi"
"thik hai bhai baad me milte hain","farewell","hi"
"good night bro","farewell","hi"
"chalo fir milte hai kal","farewell","hi"
"yaar main offline ho raha","farewell","hi"
"ok bhai kal baat karte","farewell","hi"
"bye bro kal milte","farewell","hi"
