"text","lang"
"hello how are you","en"
"good morning, hope you're doing well","en"
"can you help me with something","en"
"what is the exam schedule","en"
"i want to know today's timetable","en"
"thank you so much for your help","en"
"how is the weather today","en"
"where is the nearest campus office","en"
"please guide me to the library","en"
"could you repeat that again","en"
"i am feeling a bit confused about this","en"
"when is the assignment due","en"
"my internet is not working properly","en"
"the class was really interesting today","en"
"can you tell me the procedure","en"
"i need information about the event","en"
"how do i register for the competition","en"
"please send me the notes","en"
"what are the office hours","en"
"i am looking for the admin desk","en"
"do you know the faculty list","en"
"i think i missed something important","en"
"can you explain this topic to me","en"
"thank you, that was very helpful","en"
"do we have any classes tomorrow","en"
"i want to submit my document","en"
"where can i find the notice board","en"
"the auditorium is on the first floor","en"
"today is going to be a long day","en"
"please wait for a moment","en"
"i appreciate your assistance","en"
"can you tell me my attendance","en"
"do you know the syllabus details","en"
"i have completed my homework","en"
"where is the exam hall","en"
"the teacher is on leave today","en"
"this place looks familiar","en"
"i don't understand this question","en"
"can you fix this issue","en"
"when does the lecture begin","en"
"i need to take a printout","en"
"is the canteen open right now","en"
"thank you for the update","en"
"what is your name","en"
"i need some suggestions","en"
"can you guide me","en"
"this is really interesting","en"
"the results will be declared soon","en"
"where should i submit this form","en"
"i am trying to improve my skills","en"
"could you check this for me","en"
"please verify the details","en"
"i am waiting for your response","en"
"when will the portal open","en"
"i need help with my project","en"
"this method looks easy","en"
"today's class was very useful","en"
"can you call me later","en"
"i have a small doubt","en"
"please complete this task","en"
"how long will it take","en"
"i forgot to bring my id card","en"
"where is the main entrance","en"
"i am feeling tired today","en"
"the meeting starts at noon","en"
"please send me the pdf","en"
"what is the deadline","en"
"i want to join the workshop","en"
"this topic is complicated","en"
"could you help me understand this","en"
"how can i improve my performance","en"
"please provide the details","en"
"i want to check my progress","en"
"this assignment is challenging","en"
"i need extra time to finish","en"
"can you show me an example","en"
"this solution seems correct","en"
"where can i charge my laptop","en"
"i need to find my classroom","en"
"can you tell me the location","en"
"this chair is broken","en"
"where is the computer lab","en"
"the campus is very big","en"
"i like studying here","en"
"please help me log in","en"
"my password is not working","en"
"what is your suggestion","en"
"i need guidance","en"
"please update me soon","en"
"do you know the time","en"
"i think we should start","en"
"this feels difficult","en"
"i want to know more","en"
"can you assist me","en"
"the room is locked","en"
"i am going to class","en"
"this book is helpful","en"
"tell me something interesting","en"
"i am learning new things","en"
"can you teach me this","en"
"the laptop battery is low","en"
"where can i sit","en"
"please tell me your plan","en"
"i am hungry","en"
"the canteen food is tasty","en"
"this is confusing","en"
"i want to try again","en"
"i think this is correct","en"
"please double check this","en"
"i am ready for the task","en"
"how can i start","en"
"the classroom is empty","en"
"this file is missing","en"
"can you open the door","en"
"let's begin the session","en"
